State,Population_perc
Alabama,22%
Indiana,18%
South Dakota,17%
Pennsylvania,13%
Georgia,13%
Tennessee,12%
Utah,12%
Iowa,12%
West Virginia,12%
Kentucky,11%
Idaho,10%
Washington,10%
Arkansas,10%
Oklahoma,10%
Florida,10%
Colorado,10%
Connecticut,10%
North Dakota,9%
South Carolina,9%
Michigan,8%
Oregon,8%
North Carolina,8%
Massachusetts,8%
Wisconsin,8%
Wyoming,8%
Ohio,8%
Minnesota,7%
Montana,7%
Texas,7%
Virginia,6%
Arizona,6%
Nevada,6%
Louisiana,6%
New	Hampshire,5%
Kansas,4%
Maine,4%
Nebraska,4%
Missouri,4%
New	Mexico,3%
Illinois,3%
Delaware,2%
Mississippi,2%
Alaska,2%
New	York,0.6%
Maryland,0.4%
California,0.3%
Rhode Island,0.2%
District	of	Columbia,0.2%
New	Jersey,0.01%
Hawaii,0%
Vermont,No Permits issued
